location,date,learn_more,learn_more_source,main_source,timestamp
NYU Silver,"June 20 to June 30, 2023","From June 20 to June 30, 2023, the Constance and Martin Silver Center on Data Science and Social Equity (C+M Silver Center) at the New York University Silver School of Social Work will sponsor and host the Summer Institute in Computational Social Science, in partnership with New York University Silver School of Social Work. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science, with a focus on social equity and social good. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be presentations from computational social science researchers working in a variety of settings, such as academia, industry, and government. The site-specific focus of SICSS-NYU Silver is data science for social equity. Topics covered include (but are not limited to):

Social impact of data science: challenges, opportunities, and ethics
  Data collection
    Application Programming Interface (API)
      Social media as research tools for social sciences
      Web scraping
      Government’s open data
    
  Data analysis
    Natural Language Processing
      Machine Learning
    
The first week of the program will focus on training and group exercises, and the second week will provide participants with opportunities to launch collaborative research projects. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released via open source.

Participation is restricted to early career researchers who are able to attend the program in-person in New York City. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. Participants with less experience in social science research will be provided with additional readings in advance of the Institute, and participants with less experience coding and computational applications will be provided with a set of online learning modules. Students doing this preparatory work will be supported by a teaching assistant who will hold online office hours before the Institute.

About 20 participants will be invited, and participants are expected to fully attend and participate in the entire 9-day program. Participation is free - the NYU C+M Silver Center will cover the costs of tuition, projects, activities, and lunch. However, participants are responsible for bringing a laptop to the program (WiFi access will be provided), and arranging their own accommodation and travel for the program. We are currently unable to provide travel and lodging funds for institute participants.

Application materials are due due March 31, 2023 at 11:59pm. Inquiries may be sent to silver.cmscenter@nyu.edu.

Follow us on Twitter for the most up to date information on SICSS-NYU Silver.",https://sicss.io/2023/nyu-nyc,https://sicss.io/locations,2023-06-12T15:36:33Z
Maastricht,"June 14 to June 26, 2020","Important update: Due to Covid-19, we are switching to a virtual SICSS-Maastricht. Therefore, we also decided to re-open the application process. New deadline: May 5, 2020. More information on the new schedule will be posted soon!

From June 14 to June 26, the Maastricht Law & Tech Lab will be hosting the Summer Institute in Computational Social Science Maastricht (SICSS-Maastricht). The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. SICSS-Maastricht is for legal researchers, social scientists (broadly conceived) and data scientists (broadly conceived). SICSS-Maastricht is unique among partner locations in its  focus on legal data, both from the perspective of collection as well as analysis . Throughout the duration of the Institute in Maastricht, we will explore how computational methods can be applied to legal research questions.

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, non-probability sampling, mass collaboration, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Participation is restricted to Ph.D. students, postdoctoral researchers, and untenured faculty within 7 years of their Ph.D. We welcome applicants from all backgrounds and fields of study, especially applicants from law and other groups currently under-represented in computational social science. We particularly encourage participants from Central and Eastern Europe to apply to SICSS-Maastricht. About twenty participants will be invited, and participants are expected to fully attend and participate in the entire two-week program.",https://sicss.io/2020/maastricht,https://sicss.io/locations,2023-06-12T15:36:40Z
NYU Silver,"June 20 to June 30, 2023","From June 20 to June 30, 2023, the Constance and Martin Silver Center on Data Science and Social Equity (C+M Silver Center) at the New York University Silver School of Social Work will sponsor and host the Summer Institute in Computational Social Science, in partnership with New York University Silver School of Social Work. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science, with a focus on social equity and social good. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be presentations from computational social science researchers working in a variety of settings, such as academia, industry, and government. The site-specific focus of SICSS-NYU Silver is data science for social equity. Topics covered include (but are not limited to):

Social impact of data science: challenges, opportunities, and ethics
  Data collection
    Application Programming Interface (API)
      Social media as research tools for social sciences
      Web scraping
      Government’s open data
    
  Data analysis
    Natural Language Processing
      Machine Learning
    
The first week of the program will focus on training and group exercises, and the second week will provide participants with opportunities to launch collaborative research projects. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released via open source.

Participation is restricted to early career researchers who are able to attend the program in-person in New York City. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. Participants with less experience in social science research will be provided with additional readings in advance of the Institute, and participants with less experience coding and computational applications will be provided with a set of online learning modules. Students doing this preparatory work will be supported by a teaching assistant who will hold online office hours before the Institute.

About 20 participants will be invited, and participants are expected to fully attend and participate in the entire 9-day program. Participation is free - the NYU C+M Silver Center will cover the costs of tuition, projects, activities, and lunch. However, participants are responsible for bringing a laptop to the program (WiFi access will be provided), and arranging their own accommodation and travel for the program. We are currently unable to provide travel and lodging funds for institute participants.

Application materials are due due March 31, 2023 at 11:59pm. Inquiries may be sent to silver.cmscenter@nyu.edu.

Follow us on Twitter for the most up to date information on SICSS-NYU Silver.",https://sicss.io/2023/nyu-nyc,https://sicss.io/locations,2023-06-12T15:36:46Z
Maastricht,"June 14 to June 26, 2020","Important update: Due to Covid-19, we are switching to a virtual SICSS-Maastricht. Therefore, we also decided to re-open the application process. New deadline: May 5, 2020. More information on the new schedule will be posted soon!

From June 14 to June 26, the Maastricht Law & Tech Lab will be hosting the Summer Institute in Computational Social Science Maastricht (SICSS-Maastricht). The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. SICSS-Maastricht is for legal researchers, social scientists (broadly conceived) and data scientists (broadly conceived). SICSS-Maastricht is unique among partner locations in its  focus on legal data, both from the perspective of collection as well as analysis . Throughout the duration of the Institute in Maastricht, we will explore how computational methods can be applied to legal research questions.

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, non-probability sampling, mass collaboration, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Participation is restricted to Ph.D. students, postdoctoral researchers, and untenured faculty within 7 years of their Ph.D. We welcome applicants from all backgrounds and fields of study, especially applicants from law and other groups currently under-represented in computational social science. We particularly encourage participants from Central and Eastern Europe to apply to SICSS-Maastricht. About twenty participants will be invited, and participants are expected to fully attend and participate in the entire two-week program.",https://sicss.io/2020/maastricht,https://sicss.io/locations,2023-06-12T15:36:50Z
Montréal,"June 12 to June 30, 2023","English follows!

Du lundi 12 juin au vendredi 30 juin 2023, la faculté des sciences humaines de l’Université du Québec à Montréal parrainera l’Institut d’été en sciences sociales computationnelles. Le but de l’Institut d’été sert à former ceux et celles qui souhaitent situer leur travail académique et professionnelle à l’intersection des sciences sociales et des sciences des données. L’Institut d’été s’adresse à la fois aux spécialistes des sciences sociales (au sens large) et aux scientifiques des données (au sens large). Il est ouvert aux étudiants des deuxième et troisième cycle, des chercheurs postdoctoraux et des professeurs débutants intéressés par les sciences sociales computationnelles. Cet Institut est co-organisé par Vissého Adjiwanou, professeur au département de sociologie de l’Université du Québec à Montréal et Xavier St-Denis, professeur à l’Institut national de la recherche scientifique (INRS).

Le programme d’enseignement comprendra des cours le matin, les laboratoires et présentations de conférenciers invités l’après-midi. La première semaine de formation (du 12 au 16 juin) se tiendra en ligne et aura pour but de renforcer les compétences en programmation à R des participants. La deuxième semaine (19 au 23 juin) sera consacrée à la formation en collecte de données digitales (web scraping, utilisation de API), à l’analyse quantitative de textes et à l’analyse de réseaux. Les compétences en méthodes quantitatives usuelles et aux problèmes méthodologiques (biais de mesure, représentativité, causalité …) associées aux approches quantitatives seront discutés tout au long de l’Institut. A l’issue de ces deux premières semaines, les participants seront assez outillés pour entreprendre dans la troisième et dernière semaine un travail de recherche en équipe. Les participants auront de nombreuses occasions de discuter de leurs idées et de leurs recherches avec les organisateurs, les autres participants et les conférenciers/conférencières invité.es. Parce que nous nous engageons à une recherche ouverte et reproductible, tous les matériaux créés par les professeurs et les étudiants pour l’Institut d’été seront publiés en open source.

La participation est limitée aux étudiants de maîtrise et de doctorat, aux chercheurs postdoctoraux, et aux professeurs non titulaires. Cette année, les étudiants ont la choix entre participer à l’institut comme un cours de cycle supérieur SOC8990 qu’ils peuvent se faire créditer, ou une participation autonome à l’institut. Pour ceux qui veulent avoir une attestation de participation et se faire créditer, ils doivent s’inscrire en cliquant sur ce lien. Tous les autres doivent s’incrire à partir de ce lien. Nous accueillons des candidats de tous horizons et domaines d’études. Une trentaine de participants seront invités; ils devraient assister et participer pleinement à l’ensemble du programme des trois semaines (12 au 30 juin). Les participants ayant moins d’expérience en recherche en sciences sociales devront effectuer des lectures supplémentaires avant l’Institut, et les participants ayant moins d’expérience en codage devront compléter un ensemble de modules d’apprentissage en ligne sur le langage de programmation R, et suivre le cours intensif en R (12 au 16 juin). Les étudiants effectuant ce travail préparatoire seront soutenus par des assistants d’enseignement qui tiendront des heures de bureau en ligne avant l’Institut.

Les documents de candidature sont dus le vendredi 28 avril 2023 à 11: 59. Nous informerons les candidats uniquement par e-mail avant le début du mois d’Avril et demanderons aux participants de confirmer leur participation très peu de temps après. Les demandes de renseignements peuvent être envoyées à sicss.montreal@gmail.com.

From Monday, June 12 to Friday, June 30, 2023, l ‘Université du Québec à Montréal will sponsor the Summer Institute in Computational Social Science. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived). The organizer and principal faculty of the Summer Institute is Visseho Adjiwanou, professor at the department of Sociology at the Université du Québec à Montréal.

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, non-probability sampling, mass collaboration, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Participation is restricted to Ph.D. students, postdoctoral researchers, untenured faculty within 7 years of their Ph.D, and exceptionnaly to master students (those finishing their thesis). We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About 30 participants will be invited, and participants are expected to fully attend and participate in the entire two-week program (19 au 30 juin). Participants with less experience with social science research will be expected to complete additional readings in advance of the Institute, and participants with less experience coding will be expected to complete a set of online learning modules on the R programming language and take the intensive course in R (June 12 to 16). Students doing this preparatory work will be supported by teaching assistants who will hold online office hours before the Institute.

Application materials are due Friday, April 28, 2023 at 11:59. We will notify applicants solely through e-mail by early May, and ask participants to confirm their participation very soon thereafter. Inquiries can be sent to sicss.montreal@gmail.com.",https://sicss.io/2023/montreal,https://sicss.io/locations,2023-06-12T15:36:51Z
Montreal,"June 14 to June 27, 2020","Update: Because of COVID-19, SICSS-Montreal 2020 will be switched from an in-person event to a virtual event.

From the evening of Sunday, June 14 to the morning of Saturday, June 27, 2020, the Russell Sage Foundation and IVADO will sponsor the Summer Institute in Computational Social Science, to be held in Montréal. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived). The organizer and principal faculty of the Summer Institute is Visseho Adjiwanou, professor at the department of Sociology at the Université du Québec à Montréal.

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, non-probability sampling, mass collaboration, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Participation is restricted to Ph.D. students, postdoctoral researchers, untenured faculty within 7 years of their Ph.D, and exceptionnaly to master students (those finishing their thesis). Most participant costs during the workshop, including accommodation and most meals, will be covered, and most travel expenses will be reimbursed up to a set cap. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science.

About thirty participants will be invited, and participants are expected to fully attend and participate in the entire two-week program. Participants with less experience with social science research will be expected to complete additional readings in advance of the Institute, and participants with less experience coding will be expected to complete a set of online learning modules on the R programming language. Students doing this preparatory work will be supported by a teaching assistant who will hold online office hours before the Institute.

Application materials are extended to Wednesday, April 15th, 2020. If you will need a visa, don’t wait the last minute to apply.

We will notify applicants solely through e-mail in end-April, and ask participants to confirm their participation very soon thereafter. Inquiries can be sent to sicss.montreal@gmail.com.

In addition to the SICSS core sponsors, SICSS-Montreal is generously sponsored by IVADO:",https://sicss.io/2020/montreal,https://sicss.io/locations,2023-06-12T15:36:54Z
Beijing,"July 3 to July 14, 2023","From July 3 to July 14, 2023, the School of Journalism and Communication, the Research Center of Journalism and Social Development, and the Research Center of Future Communication will sponsor the Summer Institute in Computational Social Science, to be held at Renmin University of China. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, guest speeches, group seminars (flipped classrooms), participant-led research projects, and so on. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia and industry. Topics covered include text as data, website scraping, digital field experiments, computer vision, data visualization, machine learning, and research ethics. There will be ample opportunities for participants to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released as open source.

Participation is restricted to graduate students, postdoctoral researchers, and early career faculty. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About 25 participants will be invited, and participants are expected to fully attend and participate in the offline entire two-week program in Beijing. This event is free of charge. The participants are expected to cover their own travel and accommodation expenses during this event. But we will provide 300 RMB per day*12 days merit-based scholarships for up to 10 participants.

Application materials are due 11:59 pm on May 1, 2023 May 7, 2023 (Beijing time). We will notify applicants solely through e-mail by sicss_beijing@163.com around June 9th, and will ask participants to confirm their participation very soon thereafter.

For any questions, please contact us at sicss_beijing@163.com.",https://sicss.io/2023/beijing,https://sicss.io/locations,2023-06-12T15:36:57Z
Hong Kong,"June 20 to June 30, 2022","From June 20 to June 30, 2022, the second Summer Institute in Computational Social Science at Hong Kong will be hosted and sponsored by the Computational Social Science Laboratory (CSSL) and the Centre for Population Research of the Department of Sociology at the Chinese University of Hong Kong. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Methodological topics covered include text as data, web scraping, digital field experiments, machine learning, and ethics. Site-specific substantive topics include (but are not limited to) political polarization, misinformation, collective action, social networks, and diffusion. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source. Please note that the focus of the program is more on bringing young scholars together and developing collaborative research projects using tools and methods in computational social science than on teaching programming techniques.

Participation is restricted to graduate students, postdoctoral researchers, and junior faculty. Advanced undergraduate students will also be considered. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. The SICSS at Hong Kong will be organized on a small-group basis to ensure the quality of learning and networking. Prior experience with computational methods is a plus but not required. The event’s working language is English, therefore proficiency in English will be needed. Participants are expected to fully attend and participate in the entire two-week program.

Application materials are due April 15. Inquiries can be sent to sicss.hongkong@gmail.com",https://sicss.io/2022/hong-kong,https://sicss.io/locations,2023-06-12T15:36:59Z
Duke University,"June 14 to June 26, 2020","Update: Because of COVID-19, SICSS-Duke 2020 will be switched from an in-person event to a virtual event.

From the morning of Sunday, June 14 to the morning of Saturday, June 27, 2020, the Russell Sage Foundation will sponsor the Summer Institute in Computational Social Science, to be held at Duke University. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived). The co-organizers and principal faculty of the Summer Institute are Chris Bail and Matthew Salganik.

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, machine learning, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Participation is restricted to Ph.D. students, postdoctoral researchers, and untenured faculty within 7 years of their Ph.D. Most participant costs during the workshop, including housing and most meals, will be covered, and most travel expenses will be reimbursed up to a set cap. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About twenty participants will be invited, and participants are expected to fully attend and participate in the entire two-week program.

Application materials are due Tuesday, February 25, 2020.",https://sicss.io/2020/duke,https://sicss.io/locations,2023-06-12T15:37:00Z
JIAS/IPATC,"20 June to 8 July, 2022","From 20 June to 8 July, 2022, The Johannesburg Institute for Advanced Study
(JIAS) and The Institute for Pan-African Thought and Conversation
(IPATC) sponsored the Summer Institute in Computational Social Science, held at JIAS in a hybrid format. The purpose of the Summer Institute was to bring together postgraduate students and postdoctoral researchers interested in critical computational social science. The Summer Institute was for both social scientists (broadly conceived) and data scientists (broadly conceived).

The SICSS-JIAS/IPATC instructional programme involved lectures, group problem sets and participant-led research projects. Topics covered include text as data, website scraping, digital field experiments, machine learning and ethics. There also were outside speakers who conduct computational social science research in a variety of settings and contexts. Speakers touched on topics such as artificial intelligence in Africa, equity, ethics, decolonisation and algorithmic justice. There were ample opportunities for participants to discuss their ideas and research with the organisers, other participants and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute have been released open source.

Participation was restricted to registered masters and doctoral students, postdoctoral researchers and researchers working outside of academia. We welcomed applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. 15 participants have been invited, and participants were expected to fully attend and participate in the entire three-week programme.

Application materials were due 11:59pm SAST (GMT+2) on Thursday, 31 March, 2022

Monday, 4 April, 2022.

Follow us on twitter and
instagram.

The first two weeks took place online. The third week
combined remote and in-person participation. Limited transport and accommodation grants were
available for participants outside of Johannesburg.",https://sicss.io/2022/jias,https://sicss.io/locations,2023-06-12T15:37:03Z
