location,date,learn_more,learn_more_source,main_source
Abu Dhabi,January 2024,"From January 8 to 19, 2024, The Institute at NYUAD will sponsor the Winter Institute in Computational Social Science, to be held in person at NYU Abu Dhabi. The purpose of the Winter Institute is to bring together graduate students, postdoctoral researchers, and early career faculty interested in computational social science. The Winter Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional two-week program will involve lectures, group problem sets, and participant-led research projects. There will also be invited speakers who will share their experience in computational social science research. Topics covered include text as data, website scraping, digital field experiments, machine learning, ethics, and more. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Winter Institute will be released open source.

Participation is restricted to PhD students, postdocs, early career researchers in either public or private research institutes, and early career faculty within 5 years of their PhD. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About 10 participants will be invited, and participants are expected to fully attend and participate in the entire program. Those selected based on the strength of their application materials will receive financial support to cover their travel and accommodation.

Application materials are due August 31, 2023.

Details are subject to change as we finalize the program, please stay tuned for further updates in the upcoming weeks!",https://sicss.io/2023/abu-dhabi,https://sicss.io/locations
Accra,"August 20 to September 2, 2023","The National Science Foundation will sponsor the Summer Institute in Computational Social Science, to be held at the Regional Institute for Population Studies at the University of Ghana, from August 20 to September 2, 2023. The Summer Institute will bring together postgraduate students, early-career academics and researchers from all backgrounds, fields of study, and countries within Africa. The Summer Institute is for computationally minded social scientists and data scientists (broadly conceived).

This partner site is led by Emmanuel Olamijuwon, Fidelia Dake and Lateef Amusa. SICSS-Accra is unique among partner locations in its focus on sustainable development goals. Throughout the duration of the Institute, we will explore how computational methods applied to digital data or traditional data sources can help us to better measure the progress of  African countries towards sustainable development goals.

The instructional program for the Institute will involve lectures, group problem sets, research happy hour and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, non-probability sampling, mass collaboration, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open-source.

Registration for the workshop is free. Thanks to our generous sponsor, we will be able to cover accommodation and meals for all accepted participants. We also have limited scholarships to cover round-trip airfare for participants from other African countries. About 20 participants will be invited, and participants are expected to fully attend, participate, and engage in the entire program. Participants with less experience with social science research will be expected to complete additional readings in advance of the Institute. Participants with less coding experience will be supported by teaching assistants to complete a set of courses on the R programming language using this platform before the Institute. We have received generous support from DataCamp to access over 360 interactive courses through DataCamp for the Classroom. Participants with less coding experience will be supported by teaching assistants to complete a set of courses on the R programming language using this platform before the Institute.

Application materials will be accepted from January 27, 2023, until on March 17 March 31, 2023.",https://sicss.io/2023/accra,https://sicss.io/locations
Atlanta,"July 10 to July 21, 2023","From July 10 to July 21, 2023, the National Science Foundation will sponsor the Summer Institute in Computational Social Science, to be held at the Georgia Institute of Technology. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, machine learning, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

We invite applications from graduate students, postdoctoral researchers, and untenured faculty within 7 years of their Ph.D. SICSS-Atlanta is committed to diversity and inclusion in computational social science, and we welcome applicants from groups currently underrepresented in computational social science. About 20-25 participants will be invited. Participants will be expected to participate in all two weeks of the institute.

Participants with less experience in social science research will be expected to complete additional readings in advance of the Institute, and participants with less experience coding will be expected to complete a set of online learning modules on R or Python programming languages. Students doing this preparatory work will be supported by a teaching assistant who will hold online office hours before the Institute.

Application materials are due April 16, 2023.",https://sicss.io/2023/atlanta,https://sicss.io/locations
Beijing,"July 3 to July 14, 2023","From July 3 to July 14, 2023, the School of Journalism and Communication, the Research Center of Journalism and Social Development, and the Research Center of Future Communication will sponsor the Summer Institute in Computational Social Science, to be held at Renmin University of China. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, guest speeches, group seminars (flipped classrooms), participant-led research projects, and so on. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia and industry. Topics covered include text as data, website scraping, digital field experiments, computer vision, data visualization, machine learning, and research ethics. There will be ample opportunities for participants to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released as open source.

Participation is restricted to graduate students, postdoctoral researchers, and early career faculty. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About 25 participants will be invited, and participants are expected to fully attend and participate in the offline entire two-week program in Beijing. This event is free of charge. The participants are expected to cover their own travel and accommodation expenses during this event. But we will provide 300 RMB per day*12 days merit-based scholarships for up to 10 participants.

Application materials are due 11:59 pm on May 1, 2023 May 7, 2023 (Beijing time). We will notify applicants solely through e-mail by sicss_beijing@163.com around June 9th, and will ask participants to confirm their participation very soon thereafter.

For any questions, please contact us at sicss_beijing@163.com.",https://sicss.io/2023/beijing,https://sicss.io/locations
Berlin,"July 3 to July 13, 2023","From July 3 to July 13, 2023, the Summer Institute in Computational Social Science will be held in person at the WZB Berlin Social Science Center. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The focus of the SICSS-Berlin is on text as data, website scraping, machine learning, and ethics. The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, including academia and government. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About 15 participants will be invited, and participants are expected to fully attend and participate in the entire two-week program.

Application materials are due March 31, 2023.",https://sicss.io/2023/berlin,https://sicss.io/locations
Calabar,"June 26 to July 7, 2023","From June 26 to July 7, 2023, Academic Hive for African Scholars will host the Summer Institute in Computational Social Science, to be held at the University of Calabar. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, machine learning, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Participation is restricted to Postgraduate students (MSc, Ph.D.), early-career University Faculty, and Industry Professionals with an interest in applying data science techniques to addressing pressing social problems. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About 20 participants will be invited, and participants are expected to fully attend and participate in the entire two-week program.

Application materials are due by March 5 April 21, 2023.",https://sicss.io/2023/calabar,https://sicss.io/locations
Chile,"July 17 to July 27, 2023","From July 17 to July 27, 2023, the Millennium Institute for Foundational Research on Data (IMFD), the National Center For Artificial Intelligence (CENIA), the Computer Science Department of the University of Chile, and the Institute of Sociology of the Pontifical Catholic University of Chile (ISUC) will sponsor the Summer Institute in Computational Social Science, to be held at the Pontificia Universidad Católica, Campus San Joaquín. The Summer Institute aims to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists and data scientists (broadly conceived).

The instructional program will involve lectures, tutorials, exercises, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include:

ethics
  digital data collection
  machine learning
  text as data
  image as data
  surveys in the digital age
  network science
  visualization tools
There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released as open-source.

Participation targets people interested in research, ideally graduate students (master and doctoral programs), postdoctoral researchers, and untenured faculty within seven years of their Ph.D. That said, we intend to accept applications from undergraduate students concluding their degrees, pursuing a postgraduate program in a related field, or having proven research experience. In addition, we welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About 20 participants will be invited, and participants are expected to attend and fully participate in the two-week program.

Application materials are due Monday, May 22, 2023 at 23:59 CLT.",https://sicss.io/2023/chile,https://sicss.io/locations
Edinburgh,"June 12 to June 23, 2023","From June 12 to June 23, 2023, the Social Data Science Hub at the University of Edinburgh will host the Summer Institute in Computational Social Science, to be held in person at the University of Edinburgh. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and early career researchers interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived). This partner site is being led by Christopher Barrie, Tod Van Gunten, and Aybuke Atalay.

Program
The provisional instructional program includes lectures and workshops on the following topics:

Reproducible workflows, data carpentry;
  Qualitative and computational methods
  APIs, Web scraping, digital research methods;
  Networks and network analysis;
  Agent-based modeling
  Social networks and simulations;
  Computational text analysis and natural language processing;
  Machine learning and prediction
There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. The second week is devoted to group projects during which participants will be able to work in small teams to produce a piece of computational research. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Supervised projects

This year we are innovating on the second week group work normally conducted by participants. In addition to this, participants will also have the chance to work on a set of pre-specified topics and datasets set by the instructors and/or speakers at SICSS-Edinburgh. This will give participants to work under the direct supervision of an established computational social scientist—and a chance potentially to publish something!

Eligibility

Participation is generally restricted to postgraduate research, doctoral, post-doctoral, and early-career researchers (PhD +7). We will nonetheless consider applications from outstanding undergraduates. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. From 20-25 participants will be invited, and participants are expected to fully attend and participate in the entire two-week program.

Application materials are due March 17, 2023.",https://sicss.io/2023/edinburgh,https://sicss.io/locations
FGV/ECMI Brazil,"July 3 to July 14, 2023","From July 3 to July 14, 2023, the SICSS core sponsors and School of Communication Media and Information of Getulio Vargas Foundation (FGV-ECMI) will sponsor the Summer Institute in Computational Social Science, to be held at Fundação Getulio Vargas. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, machine learning, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Participation is restricted to graduate students (master and doctoral programs), postdoctoral researchers, and untenured faculty within 7 years of their Ph.D. master students, and computational social scientists working on NGOs and industry. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About 20-30 participants will be invited, and participants are expected to fully attend and participate in the entire two-week program.

Application materials are due Friday, April 15, 2023.",https://sicss.io/2023/fgv-ecmi-brazil,https://sicss.io/locations
Howard/Mathematica,"July 15 to July 28, 2023","From July 15 to July 28, 2023, Howard University and Mathematica will sponsor the Summer Institute in Computational Social Science, virtually at Howard University. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived). There is no cost to participate in SICSS-Howard/Mathematica.

The instructional program involves lectures, group problem sets, and participant-led research projects. There are also outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, machine learning, and ethics. There are ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute are released open source.

Participation is restricted to Ph.D. students, Masters students, postdoctoral researchers, and untenured faculty within 7 years of their Ph.D. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About thirty participants are invited, and participants are expected to fully attend and participate in the entire program.

SICSS-Howard/Mathematica is groundbreaking for a number of reasons, including: 1) we were the first (2021) Summer Institute held at a Historically Black College or University (HBCU), 2) we once again have the benefit of a deeply invested partner, Mathematica, and finally, 3) we continue our topical focus on anti-Black racism and inequity.

Application materials were due 11:59pm EST on March 31st. Submitted applications currently under review. Rolling admission until full. No longer accepting applications.

Join our email list for the most up to date information on SICSS-Howard/Mathematica, or follow us on Facebook and Twitter.",https://sicss.io/2023/howard-mathematica,https://sicss.io/locations
